哀咕 ai'gu
大拉乎吃的 da'la'hu'chi'de
大拉石 da'la'shi
打狼 da'lang
大粒儿盐 da'li'er'yan
大里头 da'li'tou
大咧咧 da'lie'lie
大芦花 da'lu'hua
打卤面 da'lu'mian
大骡子 da'luo'zi
打冒支 da'mao'zhi
大米花儿 da'mi'hua'er
大脑袋花 da'nao'dai'hua
打蔫 da'nian
打蔫儿了 da'nian'er'le
大年三十儿 da'nian'san'shi'er
大前边儿 da'qian'bian'er
大前儿个 da'qian'er'ge
大清早儿 da'qing'zao'er
大绒 da'rong
大山 da'shan
大晌火头儿 da'shang'huo'tou'er
大天白日 da'tian'bai'ri
大头前儿 da'tou'qian'er
大头鞋 da'tou'xie
打碗花儿 da'wan'hua'er
打下手 da'xia'shou
大虾糖 da'xia'tang
大夏天 da'xia'tian
大雪片子 da'xue'pian'zi
打哑吧缠 da'ya'ba'chan
大雁儿蠓 da'yan'er'meng
大烟儿炮 da'yan'er'pao
大眼贼儿 da'yan'zei'er
打腰 da'yao
大约母 da'yue'mu
大朝阳 da'zhao'yang
大嘴儿老鸹 da'zui'er'lao'gua
逮儿 dai'er
呆儿呵的 dai'er'he'de
逮儿呵的 dai'er'he'de
呆害网 dai'hai'wang
呆呵的 dai'he'de
带劲 dai'jin
蛋包 dan'bao
单崩儿 dan'beng'er
单耳立 dan'er'li
胆儿突的 dan'er'tu'de
蛋窝儿 dan'wo'er
挡害 dang'hai
当间儿 dang'jian'er
宕石 dang'shi
当央儿 dang'yang'er
当院儿 dang'yuan'er
当院子 dang'yuan'zi
叨菜 dao'cai
捣扯 dao'che
叨叨木 dao'dao'mu
叨叨木子 dao'dao'mu'zi
叨木官子 dao'mu'guan'zi
倒骑驴 dao'qi'lv
倒牵牛儿 dao'qian'niu'er
道栅儿 dao'shan'er
倒腾 dao'teng
道牙子 dao'ya'zi
嘚嘚 de'de
得得搜搜 de'de'sou'sou
得劲儿 de'jin'er
得了八嗖 de'le'ba'sou
得了吧嗖的 de'le'ba'sou'de
得瑟 de'se
嘚瑟啥呀 de'se'sha'ya
灯篓挂儿 deng'lou'gua'er
灯篓果儿 deng'lou'guo'er
灯篓裤子 deng'lou'ku'zi
灯台子 deng'tai'zi
登腿儿蘑 deng'tui'er'mo
蹬窝子 deng'wo'zi
地狗子 di'gou'zi
底挂子 di'gua'zi
地夹子 di'jia'zi
地蜊蛄 di'li'gu
滴流滑 di'liu'hua
地龙 di'long
地龙子 di'long'zi
底面 di'mian
地气 di'qi
地士仓子 di'shi'cang'zi
地头地脑儿 di'tou'di'nao'er
垫墩 dian'dun
点儿背 dian'er'bei
点儿低 dian'er'di
点儿高 dian'er'gao
点儿正 dian'er'zheng
电滚儿 dian'gun'er
电滚子 dian'gun'zi
点葫芦 dian'hu'lu
电驴子 dian'lv'zi
电炮 dian'pao
垫窝儿 dian'wo'er
垫窝子 dian'wo'zi
电匣子 dian'xia'zi
甸子 dian'zi
吊兜儿 diao'dou'er
吊儿郎当 diao'er'lang'dang
掉链子 diao'lian'zi
吊死鬼儿 diao'si'gui'er
丁钯 ding'ba
钉吧 ding'ba
顶门杠 ding'men'gang
顶头风 ding'tou'feng
东北银 dong'bei'yin
东边儿旯 dong'bian'er'la
冻豆腐 dong'dou'fu
冻儿 dong'er
东南晌 dong'nan'shang
冻性味儿 dong'xing'wei'er
冬月儿 dong'yue'er
动真格地 dong'zhen'ge'di
冻子 dong'zi
豆杵子 dou'chu'zi
兜兜 dou'dou
兜儿 dou'er
豆儿猪 dou'er'zhu
豆腐泡儿 dou'fu'pao'er
逗乐 dou'le
独根草 du'gen'cao
嘟噜灰儿 du'lu'hui'er
独门独户儿 du'men'du'hu'er
肚囊膪 du'nang'chuai
堵头儿 du'tou'er
断文 duan'wen
对撇子 dui'pie'zi
蹲仓子 dun'cang'zi
蹲坑 dun'keng
夺会儿 duo'hui'er
垛楼子 duo'lou'zi
多晚儿 duo'wan'er
多咱 duo'zan
多暂 duo'zan
多咱晚儿 duo'zan'wan'er
鹅崽儿 e'zai'er
鹅崽子 e'zai'zi
嗯呐 en'na
嗯哪 en'na
二百五 er'bai'wu
耳残 er'can
二齿钩子 er'chi'gou'zi
二齿挠子 er'chi'nao'zi
二齿子 er'chi'zi
